Comment,Designator,Footprint,LCSC,Quantity
10K,"R11,R19,R27,R3,R33",R_0603_1608Metric,C25804,5
1K,"R12,R13,R14,R15,R16,R20,R21,R22,R23,R24,R28,R29,R30,R31,R32,R4,R5,R6,R7,R8",R_0603_1608Metric,C21190,20
3K3,"R1,R10,R17,R18,R2,R25,R26,R9",R_0603_1608Metric,C22978,8
470u,"C1,C2,C3,C4",CP_Radial_D8.0mm_P3.50mm,C5162352,4
AON6354,"Q1,Q2,Q3,Q4",8-DFN (5x6),C404363,4
VNH5019ATR-E,"U2,U4,U6,U8",VNH5019ATR-E,C2653552,4
TestPoint_2Pole,TP3,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
TestPoint,TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TEENSY40,U1,TEENSY40,,1
~,U3,buck-module,,1
TestPoint,TP5,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint_2Pole,TP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
Conn_01x03,J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
Conn_01x05,J4,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
Conn_01x05,J10,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
TestPoint,TP9,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
SW_SPDT_312,SW1,SS12D00G3,,1
XT30PW-M,J9,AMASS_XT30PW-M,,1
TestPoint,TP17,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP20,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP11,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP21,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP16,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
XT60-M,J12,AMASS_XT60-M,,1
TestPoint,TP13,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
XT30UPB-M,J2,AMASS_XT30UPB-M,,1
TestPoint_2Pole,TP28,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
TestPoint,TP10,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP22,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP14,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint_2Pole,TP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,,1
TestPoint,TP27,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP15,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP6,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP19,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP26,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP8,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP18,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP23,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP25,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP12,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP7,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP24,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
Conn_01x03,J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
XT30UPB-M,J19,AMASS_XT30UPB-M,,1
XT30PW-M,J14,AMASS_XT30PW-M,,1
XT30PW-M,J13,AMASS_XT30PW-M,,1
XT30UPB-M,J6,AMASS_XT30UPB-M,,1
XT30UPB-M,J7,AMASS_XT30UPB-M,,1
Conn_01x04,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
XT30PW-M,J15,AMASS_XT30PW-M,,1
XT30PW-M,J16,AMASS_XT30PW-M,,1
Conn_01x02,J17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
Conn_01x02,J18,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
TestPoint,TP31,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP30,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP29,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
XT30PW-M,J8,AMASS_XT30PW-M,,1
